pair_index	drugbank_pair_group	drug_a_drugbank_id	drug_b_drugbank_id	drug_a_split	drug_b_split	split	unseen_drug_count
38	DB01033|DB01075	DB01033	DB01075	training	training	training	0
39	DB01033|DB01081	DB01033	DB01081	training	validation	validation	1
40	DB01033|DB01184	DB01033	DB01184	training	test	test	1
41	DB00997|DB01033	DB01033	DB00997	training	training	training	0
42	DB00584|DB01033	DB01033	DB00584	training	training	training	0
43	DB00783|DB01033	DB01033	DB00783	training	test	test	1
44	DB00286|DB01033	DB01033	DB00286	training	training	training	0
45	DB00977|DB01033	DB01033	DB00977	training	test	test	1
46	DB00773|DB01033	DB01033	DB00773	training	training	training	0
47	DB00927|DB01033	DB01033	DB00927	training	test	test	1
48	DB00813|DB01033	DB01033	DB00813	training	validation	validation	1
49	DB00196|DB01033	DB01033	DB00196	training	training	training	0
50	DB00472|DB01033	DB01033	DB00472	training	test	test	1
51	DB00158|DB01033	DB01033	DB00158	training	training	training	0
52	DB00695|DB01033	DB01033	DB00695	training	validation	validation	1
53	DB01004|DB01033	DB01033	DB01004	training	validation	validation	1
54	DB01016|DB01033	DB01033	DB01016	training	test	test	1
55	DB01033|DB01296	DB01033	DB01296	training	training	training	0
56	DB01033|DB01109	DB01033	DB01109	training	training	training	0
57	DB00999|DB01033	DB01033	DB00999	training	test	test	1
58	DB00956|DB01033	DB01033	DB00956	training	training	training	0
59	DB00741|DB01033	DB01033	DB00741	training	validation	validation	1
60	DB01033|DB01611	DB01033	DB01611	training	training	training	0
61	DB01005|DB01033	DB01033	DB01005	training	training	training	0
62	DB00557|DB01033	DB01033	DB00557	training	training	training	0
63	DB01033|DB01050	DB01033	DB01050	training	training	training	0
64	DB01033|DB01177	DB01033	DB01177	training	training	training	0
65	DB01033|DB01181	DB01033	DB01181	training	training	training	0
66	DB01033|DB09401	DB01033	DB09401	training	test	test	1
67	DB00982|DB01033	DB01033	DB00982	training	training	training	0
68	DB00650|DB01033	DB01033	DB00650	training	validation	validation	1
69	DB00281|DB01033	DB01033	DB00281	training	training	training	0
70	DB00836|DB01033	DB01033	DB00836	training	training	training	0
71	DB00186|DB01033	DB01033	DB00186	training	training	training	0
72	DB01033|DB01042	DB01033	DB01042	training	training	training	0
73	DB00331|DB01033	DB01033	DB00331	training	test	test	1
74	DB00333|DB01033	DB01033	DB00333	training	training	training	0
75	DB00563|DB01033	DB01033	DB00563	training	test	test	1
76	DB00959|DB01033	DB01033	DB00959	training	training	training	0
77	DB01033|DB01233	DB01033	DB01233	training	test	test	1
78	DB00264|DB01033	DB01033	DB00264	training	training	training	0
79	DB00916|DB01033	DB01033	DB00916	training	training	training	0
80	DB00683|DB01033	DB01033	DB00683	training	test	test	1
81	DB01033|DB01204	DB01033	DB01204	training	test	test	1
82	DB00295|DB01033	DB01033	DB00295	training	training	training	0
83	DB00627|DB01033	DB01033	DB00627	training	validation	validation	1
84	DB00646|DB01033	DB01033	DB00646	training	training	training	0
85	DB00338|DB01033	DB01033	DB00338	training	training	training	0
86	DB00497|DB01033	DB01033	DB00497	training	training	training	0
87	DB00233|DB01033	DB01033	DB00233	training	test	test	1
88	DB00738|DB01033	DB01033	DB00738	training	test	test	1
89	DB01022|DB01033	DB01033	DB01022	training	training	training	0
90	DB01033|DB14500	DB01033	DB14500	training	training	training	0
91	DB00761|DB01033	DB01033	DB00761	training	validation	validation	1
92	DB00860|DB01033	DB01033	DB00860	training	training	training	0
93	DB00635|DB01033	DB01033	DB00635	training	test	test	1
94	DB00433|DB01033	DB01033	DB00433	training	test	test	1
95	DB01033|DB01069	DB01033	DB01069	training	training	training	0
96	DB00647|DB01033	DB01033	DB00647	training	training	training	0
97	DB00571|DB01033	DB01033	DB00571	training	validation	validation	1
98	DB00550|DB01033	DB01033	DB00550	training	training	training	0
99	DB00863|DB01033	DB01033	DB00863	training	training	training	0
100	DB00795|DB01033	DB01033	DB00795	training	training	training	0
101	DB01033|DB09153	DB01033	DB09153	training	validation	validation	1
102	DB00421|DB01033	DB01033	DB00421	training	training	training	0
103	DB00444|DB01033	DB01033	DB00444	training	training	training	0
104	DB00624|DB01033	DB01033	DB00624	training	test	test	1
105	DB00352|DB01033	DB01033	DB00352	training	test	test	1
106	DB00451|DB01033	DB01033	DB00451	training	training	training	0
107	DB00193|DB01033	DB01033	DB00193	training	training	training	0
108	DB00656|DB01033	DB01033	DB00656	training	training	training	0
109	DB00755|DB01033	DB01033	DB00755	training	training	training	0
110	DB00620|DB01033	DB01033	DB00620	training	test	test	1
111	DB00440|DB01033	DB01033	DB00440	training	training	training	0
112	DB00512|DB01033	DB01033	DB00512	training	test	test	1
113	DB00661|DB01033	DB01033	DB00661	training	validation	validation	1
114	DB00570|DB01033	DB01033	DB00570	training	test	test	1
115	DB00541|DB01033	DB01033	DB00541	training	training	training	0
116	DB00309|DB01033	DB01033	DB00309	training	training	training	0
117	DB00162|DB01033	DB01033	DB00162	training	training	training	0
118	DB00115|DB01033	DB01033	DB00115	training	test	test	1
119	DB01033|DB11094	DB01033	DB11094	training	training	training	0
120	DB00682|DB01033	DB01033	DB00682	training	training	training	0
121	DB00370|DB01033	DB01033	DB00370	training	training	training	0
122	DB00448|DB01033	DB01033	DB00448	training	validation	validation	1
123	DB00381|DB01033	DB01033	DB00381	training	training	training	0
124	DB01014|DB01033	DB01033	DB01014	training	validation	validation	1
125	DB01033|DB01222	DB01033	DB01222	training	training	training	0
126	DB00241|DB01033	DB01033	DB00241	training	training	training	0
127	DB01033|DB01413	DB01033	DB01413	training	training	training	0
128	DB00341|DB01033	DB01033	DB00341	training	training	training	0
129	DB00924|DB01033	DB01033	DB00924	training	validation	validation	1
130	DB01033|DB01073	DB01033	DB01073	training	validation	validation	1
131	DB00996|DB01033	DB01033	DB00996	training	training	training	0
132	DB00904|DB01033	DB01033	DB00904	training	training	training	0
133	DB00889|DB01033	DB01033	DB00889	training	validation	validation	1
134	DB01033|DB01167	DB01033	DB01167	training	training	training	0
135	DB00555|DB01033	DB01033	DB00555	training	training	training	0
136	DB00455|DB01033	DB01033	DB00455	training	training	training	0
137	DB00776|DB01033	DB01033	DB00776	training	training	training	0
138	DB01033|DB06285	DB01033	DB06285	training	training	training	0
139	DB00758|DB01033	DB01033	DB00758	training	training	training	0
140	DB00059|DB01033	DB01033	DB00059	training	test	test	1
141	DB00178|DB01033	DB01033	DB00178	training	training	training	0
142	DB00734|DB01033	DB01033	DB00734	training	training	training	0
143	DB01033|DB01104	DB01033	DB01104	training	training	training	0
144	DB00641|DB01033	DB01033	DB00641	training	test	test	1
145	DB01033|DB01390	DB01033	DB01390	training	training	training	0
146	DB00669|DB01033	DB01033	DB00669	training	training	training	0
147	DB00273|DB01033	DB01033	DB00273	training	training	training	0
148	DB00285|DB01033	DB01033	DB00285	training	training	training	0
149	DB00425|DB01033	DB01033	DB00425	training	training	training	0
150	DB00213|DB01033	DB01033	DB00213	training	training	training	0
151	DB01033|DB13867	DB01033	DB13867	training	training	training	0
152	DB00814|DB01033	DB01033	DB00814	training	training	training	0
153	DB01033|DB01156	DB01033	DB01156	training	training	training	0
154	DB00380|DB01033	DB01033	DB00380	training	training	training	0
155	DB00631|DB01033	DB01033	DB00631	training	training	training	0
156	DB00242|DB01033	DB01033	DB00242	training	test	test	1
157	DB00678|DB01033	DB01033	DB00678	training	training	training	0
158	DB00244|DB01033	DB01033	DB00244	training	training	training	0
159	DB01033|DB01225	DB01033	DB01225	training	training	training	0
160	DB00688|DB01033	DB01033	DB00688	training	test	test	1
161	DB01033|DB01409	DB01033	DB01409	training	training	training	0
162	DB00476|DB01033	DB01033	DB00476	training	training	training	0
163	DB00966|DB01033	DB01033	DB00966	training	test	test	1
164	DB00577|DB01033	DB01033	DB00577	training	training	training	0
165	DB01033|DB11089	DB01033	DB11089	training	training	training	0
166	DB01033|DB01137	DB01033	DB01137	training	training	training	0
167	DB00471|DB01033	DB01033	DB00471	training	training	training	0
168	DB00764|DB01033	DB01033	DB00764	training	training	training	0
169	DB01033|DB01202	DB01033	DB01202	training	validation	validation	1
170	DB01033|DB01129	DB01033	DB01129	training	test	test	1
171	DB00087|DB01033	DB01033	DB00087	training	training	training	0
172	DB00073|DB01033	DB01033	DB00073	training	training	training	0
173	DB00582|DB01033	DB01033	DB00582	training	training	training	0
174	DB01033|DB01307	DB01033	DB01307	training	training	training	0
175	DB00520|DB01033	DB01033	DB00520	training	training	training	0
176	DB00482|DB01033	DB01033	DB00482	training	training	training	0
177	DB00424|DB01033	DB01033	DB00424	training	test	test	1
178	DB00005|DB01033	DB01033	DB00005	training	training	training	0
179	DB01033|DB01280	DB01033	DB01280	training	training	training	0
180	DB00047|DB01033	DB01033	DB00047	training	validation	validation	1
181	DB00619|DB01033	DB01033	DB00619	training	training	training	0
182	DB00736|DB01033	DB01033	DB00736	training	test	test	1
183	DB01033|DB01098	DB01033	DB01098	training	training	training	0
184	DB01033|DB01175	DB01033	DB01175	training	training	training	0
185	DB01033|DB01141	DB01033	DB01141	training	test	test	1
186	DB00051|DB01033	DB01033	DB00051	training	training	training	0
187	DB00480|DB01033	DB01033	DB00480	training	training	training	0
188	DB01033|DB08904	DB01033	DB08904	training	training	training	0
189	DB01033|DB08882	DB01033	DB08882	training	training	training	0
190	DB00169|DB01033	DB01033	DB00169	training	test	test	1
191	DB01033|DB08890	DB01033	DB08890	training	training	training	0
192	DB01193|DB01418	DB01193	DB01418	training	training	training	0
193	DB00316|DB01193	DB01193	DB00316	training	training	training	0
194	DB01001|DB01193	DB01193	DB01001	training	test	test	1
195	DB00437|DB01193	DB01193	DB00437	training	training	training	0
196	DB00404|DB01193	DB01193	DB00404	training	training	training	0
197	DB00594|DB01193	DB01193	DB00594	training	test	test	1
198	DB01118|DB01193	DB01193	DB01118	training	test	test	1
199	DB00321|DB01193	DB01193	DB00321	training	validation	validation	1
200	DB00443|DB01193	DB01193	DB00443	training	training	training	0
201	DB01193|DB01558	DB01193	DB01558	training	training	training	0
202	DB00921|DB01193	DB01193	DB00921	training	training	training	0
203	DB01193|DB01373	DB01193	DB01373	training	training	training	0
204	DB01193|DB01197	DB01193	DB01197	training	training	training	0
205	DB00564|DB01193	DB01193	DB00564	training	training	training	0
206	DB00493|DB01193	DB01193	DB00493	training	training	training	0
207	DB01193|DB01212	DB01193	DB01212	training	training	training	0
208	DB00537|DB01193	DB01193	DB00537	training	training	training	0
209	DB00515|DB01193	DB01193	DB00515	training	training	training	0
210	DB00215|DB01193	DB01193	DB00215	training	validation	validation	1
211	DB01068|DB01193	DB01193	DB01068	training	training	training	0
212	DB00575|DB01193	DB01193	DB00575	training	training	training	0
213	DB01193|DB01394	DB01193	DB01394	training	training	training	0
214	DB00091|DB01193	DB01193	DB00091	training	test	test	1
215	DB01193|DB01234	DB01193	DB01234	training	training	training	0
216	DB00829|DB01193	DB01193	DB00829	training	training	training	0
217	DB00586|DB01193	DB01193	DB00586	training	training	training	0
218	DB00390|DB01193	DB01193	DB00390	training	training	training	0
219	DB00343|DB01193	DB01193	DB00343	training	test	test	1
220	DB01075|DB01193	DB01193	DB01075	training	training	training	0
221	DB01184|DB01193	DB01193	DB01184	training	test	test	1
222	DB00997|DB01193	DB01193	DB00997	training	training	training	0
223	DB00584|DB01193	DB01193	DB00584	training	training	training	0
224	DB00783|DB01193	DB01193	DB00783	training	test	test	1
225	DB00286|DB01193	DB01193	DB00286	training	training	training	0
226	DB00773|DB01193	DB01193	DB00773	training	training	training	0
227	DB01023|DB01193	DB01193	DB01023	training	training	training	0
228	DB00813|DB01193	DB01193	DB00813	training	validation	validation	1
229	DB01193|DB01195	DB01193	DB01195	training	training	training	0
230	DB00196|DB01193	DB01193	DB00196	training	training	training	0
231	DB00544|DB01193	DB01193	DB00544	training	training	training	0
232	DB00472|DB01193	DB01193	DB00472	training	test	test	1
233	DB00158|DB01193	DB01193	DB00158	training	training	training	0
234	DB00695|DB01193	DB01193	DB00695	training	validation	validation	1
235	DB00674|DB01193	DB01193	DB00674	training	training	training	0
236	DB01016|DB01193	DB01193	DB01016	training	test	test	1
237	DB01120|DB01193	DB01193	DB01120	training	training	training	0
238	DB00727|DB01193	DB01193	DB00727	training	test	test	1
239	DB01109|DB01193	DB01193	DB01109	training	training	training	0
240	DB00999|DB01193	DB01193	DB00999	training	test	test	1
241	DB00956|DB01193	DB01193	DB00956	training	training	training	0
242	DB00741|DB01193	DB01193	DB00741	training	validation	validation	1
243	DB00557|DB01193	DB01193	DB00557	training	training	training	0
244	DB01050|DB01193	DB01193	DB01050	training	training	training	0
245	DB00808|DB01193	DB01193	DB00808	training	training	training	0
246	DB01193|DB09401	DB01193	DB09401	training	test	test	1
247	DB00883|DB01193	DB01193	DB00883	training	test	test	1
248	DB01009|DB01193	DB01193	DB01009	training	training	training	0
249	DB00598|DB01193	DB01193	DB00598	training	training	training	0
250	DB00581|DB01193	DB01193	DB00581	training	training	training	0
251	DB00650|DB01193	DB01193	DB00650	training	validation	validation	1
252	DB01193|DB01235	DB01193	DB01235	training	training	training	0
253	DB00186|DB01193	DB01193	DB00186	training	training	training	0
254	DB01043|DB01193	DB01193	DB01043	training	test	test	1
255	DB00371|DB01193	DB01193	DB00371	training	test	test	1
256	DB00331|DB01193	DB01193	DB00331	training	test	test	1
257	DB00563|DB01193	DB01193	DB00563	training	test	test	1
258	DB00959|DB01193	DB01193	DB00959	training	training	training	0
259	DB01193|DB01233	DB01193	DB01233	training	test	test	1
260	DB00264|DB01193	DB01193	DB00264	training	training	training	0
261	DB00916|DB01193	DB01193	DB00916	training	training	training	0
262	DB01193|DB06148	DB01193	DB06148	training	training	training	0
263	DB01193|DB09282	DB01193	DB09282	training	training	training	0
264	DB00295|DB01193	DB01193	DB00295	training	training	training	0
265	DB01193|DB13588	DB01193	DB13588	training	training	training	0
266	DB01193|DB12293	DB01193	DB12293	training	training	training	0
267	DB00622|DB01193	DB01193	DB00622	training	training	training	0
268	DB01115|DB01193	DB01193	DB01115	training	test	test	1
269	DB01165|DB01193	DB01193	DB01165	training	training	training	0
270	DB00338|DB01193	DB01193	DB00338	training	training	training	0
271	DB00842|DB01193	DB01193	DB00842	training	training	training	0
272	DB00497|DB01193	DB01193	DB00497	training	training	training	0
273	DB00806|DB01193	DB01193	DB00806	training	test	test	1
274	DB01193|DB12478	DB01193	DB12478	training	training	training	0
275	DB00761|DB01193	DB01193	DB00761	training	validation	validation	1
276	DB01193|DB01588	DB01193	DB01588	training	training	training	0
277	DB00860|DB01193	DB01193	DB00860	training	training	training	0
278	DB00635|DB01193	DB01193	DB00635	training	test	test	1
279	DB01039|DB01193	DB01193	DB01039	training	training	training	0
280	DB00818|DB01193	DB01193	DB00818	training	training	training	0
281	DB00647|DB01193	DB01193	DB00647	training	training	training	0
282	DB00863|DB01193	DB01193	DB00863	training	training	training	0
283	DB01193|DB09072	DB01193	DB09072	training	training	training	0
284	DB00421|DB01193	DB01193	DB00421	training	training	training	0
285	DB00370|DB01193	DB01193	DB00370	training	training	training	0
286	DB00284|DB01193	DB01193	DB00284	training	training	training	0
287	DB00448|DB01193	DB01193	DB00448	training	validation	validation	1
288	DB00381|DB01193	DB01193	DB00381	training	training	training	0
289	DB00542|DB01193	DB01193	DB00542	training	test	test	1
290	DB00612|DB01193	DB01193	DB00612	training	training	training	0
291	DB01193|DB01222	DB01193	DB01222	training	training	training	0
292	DB00341|DB01193	DB01193	DB00341	training	training	training	0
293	DB01193|DB01211	DB01193	DB01211	training	test	test	1
294	DB01193|DB09000	DB01193	DB09000	training	training	training	0
295	DB01193|DB13679	DB01193	DB13679	training	training	training	0
296	DB00983|DB01193	DB01193	DB00983	training	training	training	0
297	DB00996|DB01193	DB01193	DB00996	training	training	training	0
298	DB00222|DB01193	DB01193	DB00222	training	training	training	0
299	DB00904|DB01193	DB01193	DB00904	training	training	training	0
300	DB00555|DB01193	DB01193	DB00555	training	training	training	0
301	DB00455|DB01193	DB01193	DB00455	training	training	training	0
302	DB01193|DB13872	DB01193	DB13872	training	test	test	1
303	DB01193|DB13591	DB01193	DB13591	training	validation	validation	1
304	DB01193|DB09220	DB01193	DB09220	training	training	training	0
305	DB00526|DB01193	DB01193	DB00526	training	validation	validation	1
306	DB01193|DB06285	DB01193	DB06285	training	training	training	0
307	DB00715|DB01193	DB01193	DB00715	training	training	training	0
308	DB00758|DB01193	DB01193	DB00758	training	training	training	0
309	DB01132|DB01193	DB01193	DB01132	training	test	test	1
310	DB00178|DB01193	DB01193	DB00178	training	training	training	0
311	DB00734|DB01193	DB01193	DB00734	training	training	training	0
312	DB00938|DB01193	DB01193	DB00938	training	training	training	0
313	DB01104|DB01193	DB01193	DB01104	training	training	training	0
314	DB00641|DB01193	DB01193	DB00641	training	test	test	1
315	DB00273|DB01193	DB01193	DB00273	training	training	training	0
316	DB00519|DB01193	DB01193	DB00519	training	test	test	1
317	DB01193|DB12661	DB01193	DB12661	training	training	training	0
318	DB00285|DB01193	DB01193	DB00285	training	training	training	0
319	DB00425|DB01193	DB01193	DB00425	training	training	training	0
320	DB01193|DB01198	DB01193	DB01198	training	training	training	0
321	DB00958|DB01193	DB01193	DB00958	training	test	test	1
322	DB00213|DB01193	DB01193	DB00213	training	training	training	0
323	DB01193|DB13867	DB01193	DB13867	training	training	training	0
324	DB01095|DB01193	DB01193	DB01095	training	training	training	0
325	DB00814|DB01193	DB01193	DB00814	training	training	training	0
326	DB00175|DB01193	DB01193	DB00175	training	training	training	0
327	DB01193|DB13136	DB01193	DB13136	training	training	training	0
328	DB01193|DB01224	DB01193	DB01224	training	training	training	0
329	DB01193|DB01306	DB01193	DB01306	training	training	training	0
330	DB00678|DB01193	DB01193	DB00678	training	training	training	0
331	DB00244|DB01193	DB01193	DB00244	training	training	training	0
332	DB00790|DB01193	DB01193	DB00790	training	training	training	0
333	DB01193|DB11738	DB01193	DB11738	training	test	test	1
334	DB00334|DB01193	DB01193	DB00334	training	test	test	1
335	DB01193|DB13704	DB01193	DB13704	training	test	test	1
336	DB01193|DB01225	DB01193	DB01225	training	training	training	0
337	DB00688|DB01193	DB01193	DB00688	training	test	test	1
338	DB00709|DB01193	DB01193	DB00709	training	training	training	0
339	DB01193|DB01409	DB01193	DB01409	training	training	training	0
340	DB00177|DB01193	DB01193	DB00177	training	training	training	0
341	DB00481|DB01193	DB01193	DB00481	training	training	training	0
342	DB00476|DB01193	DB01193	DB00476	training	training	training	0
343	DB01006|DB01193	DB01193	DB01006	training	training	training	0
344	DB00912|DB01193	DB01193	DB00912	training	training	training	0
345	DB00966|DB01193	DB01193	DB00966	training	test	test	1
346	DB00577|DB01193	DB01193	DB00577	training	training	training	0
347	DB00706|DB01193	DB01193	DB00706	training	validation	validation	1
348	DB01193|DB11089	DB01193	DB11089	training	training	training	0
349	DB01137|DB01193	DB01193	DB01137	training	training	training	0
350	DB01128|DB01193	DB01193	DB01128	training	training	training	0
351	DB01029|DB01193	DB01193	DB01029	training	training	training	0
352	DB00412|DB01193	DB01193	DB00412	training	training	training	0
353	DB01193|DB01217	DB01193	DB01217	training	validation	validation	1
354	DB00503|DB01193	DB01193	DB00503	training	validation	validation	1
355	DB00471|DB01193	DB01193	DB00471	training	training	training	0
356	DB00989|DB01193	DB01193	DB00989	training	test	test	1
357	DB00230|DB01193	DB01193	DB00230	training	training	training	0
358	DB01048|DB01193	DB01193	DB01048	training	training	training	0
359	DB01193|DB13919	DB01193	DB13919	training	training	training	0
360	DB01126|DB01193	DB01193	DB01126	training	validation	validation	1
361	DB00533|DB01193	DB01193	DB00533	training	training	training	0
362	DB00112|DB01193	DB01193	DB00112	training	training	training	0
363	DB00047|DB01193	DB01193	DB00047	training	validation	validation	1
364	DB00967|DB01193	DB01193	DB00967	training	training	training	0
365	DB01193|DB01610	DB01193	DB01610	training	test	test	1
366	DB00736|DB01193	DB01193	DB00736	training	test	test	1
367	DB00012|DB01193	DB01193	DB00012	training	training	training	0
368	DB01098|DB01193	DB01193	DB01098	training	training	training	0
369	DB00275|DB01193	DB01193	DB00275	training	training	training	0
370	DB01175|DB01193	DB01193	DB01175	training	training	training	0
371	DB01193|DB09026	DB01193	DB09026	training	training	training	0
372	DB00051|DB01193	DB01193	DB00051	training	training	training	0
373	DB00973|DB01193	DB01193	DB00973	training	training	training	0
374	DB00480|DB01193	DB01193	DB00480	training	training	training	0
375	DB01072|DB01193	DB01193	DB01072	training	test	test	1
376	DB00188|DB01193	DB01193	DB00188	training	validation	validation	1
377	DB01193|DB01261	DB01193	DB01261	training	training	training	0
378	DB00413|DB01193	DB01193	DB00413	training	training	training	0
379	DB01193|DB06643	DB01193	DB06643	training	test	test	1
380	DB01193|DB18001	DB01193	DB18001	training	training	training	0
381	DB00316|DB01418	DB01418	DB00316	training	training	training	0
382	DB01418|DB06151	DB01418	DB06151	training	training	training	0
383	DB00787|DB01418	DB01418	DB00787	training	training	training	0
384	DB01001|DB01418	DB01418	DB01001	training	test	test	1
385	DB00437|DB01418	DB01418	DB00437	training	training	training	0
386	DB00404|DB01418	DB01418	DB00404	training	training	training	0
387	DB00479|DB01418	DB01418	DB00479	training	test	test	1
388	DB00594|DB01418	DB01418	DB00594	training	test	test	1
389	DB01118|DB01418	DB01418	DB01118	training	test	test	1
390	DB00321|DB01418	DB01418	DB00321	training	validation	validation	1
391	DB01418|DB09020	DB01418	DB09020	training	training	training	0
392	DB01418|DB01558	DB01418	DB01558	training	training	training	0
393	DB00887|DB01418	DB01418	DB00887	training	training	training	0
394	DB00921|DB01418	DB01418	DB00921	training	training	training	0
395	DB00136|DB01418	DB01418	DB00136	training	training	training	0
396	DB01373|DB01418	DB01418	DB01373	training	training	training	0
397	DB01418|DB06724	DB01418	DB06724	training	test	test	1
398	DB01418|DB12221	DB01418	DB12221	training	test	test	1
399	DB01197|DB01418	DB01418	DB01197	training	training	training	0
400	DB00564|DB01418	DB01418	DB00564	training	training	training	0
401	DB00190|DB01418	DB01418	DB00190	training	training	training	0
402	DB01212|DB01418	DB01418	DB01212	training	training	training	0
403	DB01112|DB01418	DB01418	DB01112	training	training	training	0
404	DB00878|DB01418	DB01418	DB00878	training	training	training	0
405	DB00310|DB01418	DB01418	DB00310	training	training	training	0
406	DB00537|DB01418	DB01418	DB00537	training	training	training	0
407	DB00515|DB01418	DB01418	DB00515	training	training	training	0
408	DB00215|DB01418	DB01418	DB00215	training	validation	validation	1
409	DB01190|DB01418	DB01418	DB01190	training	validation	validation	1
410	DB01242|DB01418	DB01418	DB01242	training	training	training	0
411	DB01068|DB01418	DB01418	DB01068	training	training	training	0
412	DB00575|DB01418	DB01418	DB00575	training	training	training	0
413	DB01394|DB01418	DB01418	DB01394	training	training	training	0
414	DB00091|DB01418	DB01418	DB00091	training	test	test	1
415	DB01234|DB01418	DB01418	DB01234	training	training	training	0
416	DB00829|DB01418	DB01418	DB00829	training	training	training	0
417	DB00586|DB01418	DB01418	DB00586	training	training	training	0
418	DB01396|DB01418	DB01418	DB01396	training	test	test	1
419	DB00390|DB01418	DB01418	DB00390	training	training	training	0
420	DB00343|DB01418	DB01418	DB00343	training	test	test	1
421	DB01418|DB08995	DB01418	DB08995	training	training	training	0
422	DB00975|DB01418	DB01418	DB00975	training	training	training	0
423	DB01418|DB04817	DB01418	DB04817	training	training	training	0
424	DB01184|DB01418	DB01418	DB01184	training	test	test	1
425	DB00997|DB01418	DB01418	DB00997	training	training	training	0
426	DB01127|DB01418	DB01418	DB01127	training	test	test	1
427	DB00584|DB01418	DB01418	DB00584	training	training	training	0
428	DB00977|DB01418	DB01418	DB00977	training	test	test	1
429	DB00813|DB01418	DB01418	DB00813	training	validation	validation	1
430	DB01195|DB01418	DB01418	DB01195	training	training	training	0
431	DB00196|DB01418	DB01418	DB00196	training	training	training	0
432	DB00544|DB01418	DB01418	DB00544	training	training	training	0
433	DB00472|DB01418	DB01418	DB00472	training	test	test	1
434	DB00158|DB01418	DB01418	DB00158	training	training	training	0
435	DB00695|DB01418	DB01418	DB00695	training	validation	validation	1
436	DB01016|DB01418	DB01418	DB01016	training	test	test	1
437	DB01120|DB01418	DB01418	DB01120	training	training	training	0
438	DB00727|DB01418	DB01418	DB00727	training	test	test	1
439	DB00502|DB01418	DB01418	DB00502	training	training	training	0
440	DB01109|DB01418	DB01418	DB01109	training	training	training	0
441	DB00999|DB01418	DB01418	DB00999	training	test	test	1
442	DB01418|DB01611	DB01418	DB01611	training	training	training	0
443	DB01005|DB01418	DB01418	DB01005	training	training	training	0
444	DB00557|DB01418	DB01418	DB00557	training	training	training	0
445	DB01050|DB01418	DB01418	DB01050	training	training	training	0
446	DB00808|DB01418	DB01418	DB00808	training	training	training	0
447	DB01418|DB09401	DB01418	DB09401	training	test	test	1
448	DB00883|DB01418	DB01418	DB00883	training	test	test	1
449	DB01009|DB01418	DB01418	DB01009	training	training	training	0
450	DB00581|DB01418	DB01418	DB00581	training	training	training	0
451	DB00650|DB01418	DB01418	DB00650	training	validation	validation	1
452	DB01235|DB01418	DB01418	DB01235	training	training	training	0
453	DB00836|DB01418	DB01418	DB00836	training	training	training	0
454	DB00186|DB01418	DB01418	DB00186	training	training	training	0
455	DB01042|DB01418	DB01418	DB01042	training	training	training	0
456	DB01043|DB01418	DB01418	DB01043	training	test	test	1
457	DB00371|DB01418	DB01418	DB00371	training	test	test	1
458	DB00331|DB01418	DB01418	DB00331	training	test	test	1
